head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,slot_sets,write_working_set_bytes,write_working_set_mb,l2_multiple,device_median_ms,device_min_ms,logical_total_bytes,logical_eff_gbps
mha,32,32,128,128,2048,fp32,ragged,packed,identity,compile,1,4194304,4.19,0.083,0.026976000517606735,0.02454400062561035,12648448,468.8778083224232
mha,32,32,128,128,2048,fp32,ragged,packed,identity,graph_compile,1,4194304,4.19,0.083,0.01259199995547533,0.010784000158309937,12648448,1004.4828498033884
mha,32,32,128,128,2048,fp32,ragged,packed,identity,compile,8,33554432,33.55,0.667,0.02711999975144863,0.023231999948620796,12648448,466.38820486435935
mha,32,32,128,128,2048,fp32,ragged,packed,identity,graph_compile,8,33554432,33.55,0.667,0.012671999633312225,0.010944000445306301,12648448,998.1414430244843
mha,32,32,128,128,2048,fp32,ragged,packed,identity,compile,32,134217728,134.22,2.667,0.027327999472618103,0.02473600022494793,12648448,462.83841642610514
mha,32,32,128,128,2048,fp32,ragged,packed,identity,graph_compile,32,134217728,134.22,2.667,0.012608000077307224,0.008448000065982342,12648448,1003.2081156761394
mha,32,32,128,128,2048,fp32,ragged,packed,identity,compile,128,536870912,536.87,10.667,0.02779199928045273,0.023072000592947006,12648448,455.111122894141
mha,32,32,128,128,2048,fp32,ragged,packed,identity,graph_compile,128,536870912,536.87,10.667,0.013391999993473291,0.01056000031530857,12648448,944.4778977123904
mha,32,32,128,128,2048,fp32,ragged,packed,identity,compile,512,2147483648,2147.48,42.667,0.027264000847935677,0.024351999163627625,12648448,463.9248682006145
mha,32,32,128,128,2048,fp32,ragged,packed,identity,graph_compile,512,2147483648,2147.48,42.667,0.01283199992030859,0.008960000239312649,12648448,985.6957667200348
mha,32,32,128,128,2048,bf16,ragged,packed,identity,compile,1,2097152,2.1,0.042,0.026847999542951584,0.024159999564290047,6356992,236.7771196446144
mha,32,32,128,128,2048,bf16,ragged,packed,identity,graph_compile,1,2097152,2.1,0.042,0.010847999714314938,0.010048000141978264,6356992,586.0059151376418
mha,32,32,128,128,2048,bf16,ragged,packed,identity,compile,8,16777216,16.78,0.333,0.02604799997061491,0.024671999737620354,6356992,244.04914032445507
mha,32,32,128,128,2048,bf16,ragged,packed,identity,graph_compile,8,16777216,16.78,0.333,0.01104000024497509,0.008960000239312649,6356992,575.8144799764308
mha,32,32,128,128,2048,bf16,ragged,packed,identity,compile,32,67108864,67.11,1.333,0.027023999951779842,0.025439999997615814,6356992,235.23505074537712
mha,32,32,128,128,2048,bf16,ragged,packed,identity,graph_compile,32,67108864,67.11,1.333,0.011168000288307667,0.007296000141650438,6356992,569.2148850188919
mha,32,32,128,128,2048,bf16,ragged,packed,identity,compile,128,268435456,268.44,5.333,0.026496000587940216,0.02505600079894066,6356992,239.92269999017947
mha,32,32,128,128,2048,bf16,ragged,packed,identity,graph_compile,128,268435456,268.44,5.333,0.01142400037497282,0.010591999627649784,6356992,556.4593654886959
mha,32,32,128,128,2048,bf16,ragged,packed,identity,compile,512,1073741824,1073.74,21.333,0.027263999916613102,0.025919999927282333,6356992,233.164319961959
mha,32,32,128,128,2048,bf16,ragged,packed,identity,graph_compile,512,1073741824,1073.74,21.333,0.011487999930977821,0.007584000006318092,6356992,553.3593348010155
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,compile,1,1572864,1.57,0.031,0.026655999943614006,0.02537599951028824,4767744,178.86194515626156
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,graph_compile,1,1572864,1.57,0.031,0.010688000358641148,0.009920000098645687,4767744,446.08381736676535
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,compile,8,12582912,12.58,0.25,0.026575999334454536,0.02505600079894066,4767744,179.40036572091736
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,graph_compile,8,12582912,12.58,0.25,0.010816000401973724,0.008128000423312187,4767744,440.8047173454221
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,compile,32,50331648,50.33,1.0,0.02598400041460991,0.021247999742627144,4767744,183.4876818012696
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,graph_compile,32,50331648,50.33,1.0,0.010912000201642513,0.010048000141978264,4767744,436.92667814305406
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,compile,128,201326592,201.33,4.0,0.02707199938595295,0.025439999997615814,4767744,176.11347917191054
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,graph_compile,128,201326592,201.33,4.0,0.011264000087976456,0.00848000030964613,4767744,423.2727239667938
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,compile,512,805306368,805.31,16.0,0.02681600023061037,0.02425600029528141,4767744,177.7947478743544
mha96,32,32,96,128,2048,bf16,ragged,packed,identity,graph_compile,512,805306368,805.31,16.0,0.011264000087976456,0.00687999976798892,4767744,423.2727239667938
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,compile,1,524288,0.52,0.01,0.030368000268936157,0.029279999434947968,3211264,105.74499379482837
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,graph_compile,1,524288,0.52,0.01,0.010847999714314938,0.008832000195980072,3211264,296.02360661592206
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,compile,8,4194304,4.19,0.083,0.030047999694943428,0.028416000306606293,3211264,106.87114059510596
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,graph_compile,8,4194304,4.19,0.083,0.010944000445306301,0.008736000396311283,3211264,293.4268886453908
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,compile,32,16777216,16.78,0.333,0.030767999589443207,0.02940800040960312,3211264,104.37025620287044
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,graph_compile,32,16777216,16.78,0.333,0.010751999914646149,0.007872000336647034,3211264,298.666669037607
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,compile,128,67108864,67.11,1.333,0.030896000564098358,0.02937600016593933,3211264,103.93785413544882
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,graph_compile,128,67108864,67.11,1.333,0.011071999557316303,0.010208000428974628,3211264,290.0346936771704
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,compile,512,268435456,268.44,5.333,0.0306560005992651,0.029055999591946602,3211264,104.75156371431511
gqa,32,8,128,128,2048,bf16,ragged,packed,identity,graph_compile,512,268435456,268.44,5.333,0.010944000445306301,0.0080960001796484,3211264,293.4268886453908
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,compile,1,32768,0.03,0.001,0.030608000233769417,0.029279999434947968,2424832,79.22216353503272
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,graph_compile,1,32768,0.03,0.001,0.010591999627649784,0.00979200005531311,2424832,228.93052164296915
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,compile,8,262144,0.26,0.005,0.031183999963104725,0.029983999207615852,2424832,77.7588507846631
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,graph_compile,8,262144,0.26,0.005,0.010768000036478043,0.007360000163316727,2424832,225.1887065179752
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,compile,32,1048576,1.05,0.021,0.030511999502778053,0.029120000079274178,2424832,79.47142237529285
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,graph_compile,32,1048576,1.05,0.021,0.010863999836146832,0.0081599997356534,2424832,223.19882516309232
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,compile,128,4194304,4.19,0.083,0.030608000233769417,0.027936000376939774,2424832,79.22216353503272
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,graph_compile,128,4194304,4.19,0.083,0.011264000087976456,0.010304000228643417,2424832,215.27272559135906
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,compile,512,16777216,16.78,0.333,0.030880000442266464,0.028736000880599022,2424832,78.52435120697257
mqa,71,1,64,128,2048,bf16,ragged,packed,identity,graph_compile,512,16777216,16.78,0.333,0.011008000001311302,0.0081599997356534,2424832,220.27906974120162
