impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,seed,validation,validation_detail,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw
eager,mha,32,32,128,1,128,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10438399761915207,0.11459200084209442,0.10080000013113022,0.006765688878932947,0.0891880298149772,0.09997750748880208,25088,24576,49664,0.4757817398525058,0.08611292068096361
compile,mha,32,32,128,1,128,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.03240000084042549,0.03939199820160866,0.02876799926161766,0.003990830960739958,0.030086949991527945,0.03466999623924494,25088,24576,49664,1.5328394664124272,0.27743242821539055
eager,mha,32,32,128,1,128,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.12828800082206726,0.13488000631332397,0.12678399682044983,0.002813754760002203,0.11449170997366309,0.12565100041683763,25088,24576,49664,0.3871289573596436,0.07006743303925383
compile,mha,32,32,128,1,128,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.04439999908208847,0.05225599929690361,0.03292800113558769,0.007364767694234875,0.03033551009139046,0.038406491512432694,25088,24576,49664,1.1185585816832844,0.2024507002966615
eager,mha,32,32,128,1,128,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10559999942779541,0.11923199892044067,0.10239999741315842,0.00510058618992709,0.08937359001720324,0.10198098607361317,25088,24576,49664,0.4703030328514162,0.08512131587165479
compile,mha,32,32,128,1,128,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.03041600063443184,0.03814399987459183,0.02879999950528145,0.0036492041440588253,0.023487170110456645,0.027090994990430772,25088,24576,49664,1.6328247949790888,0.2955290215625631
eager,mha,32,32,128,1,128,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.1042879968881607,0.11561600118875504,0.10121600329875946,0.006408530955716227,0.09070378000615165,0.10066399408970028,25088,24576,49664,0.47621971350413483,0.08619219062170319
compile,mha,32,32,128,1,128,fp16,ragged,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 sets=3,0.04495999962091446,0.05276799947023392,0.03251200169324875,0.007277090219929971,0.03060713002923876,0.03974951687268913,25088,24576,49664,1.1046263438333601,0.1999290699094786
eager,mha,32,32,128,1,128,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.0833280012011528,0.0928959995508194,0.08076799660921097,0.005181560629133152,0.07103587995516136,0.07971448940224946,49664,49152,98816,1.1858678784513188,0.2146331773616158
compile,mha,32,32,128,1,128,fp32,uniform,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=2,0.03030399978160858,0.03836800158023834,0.029279999434947968,0.0035372318560631007,0.023245919728651643,0.027532005333341658,49664,49152,98816,3.2608236771428167,0.5901845891594248
eager,mha,32,32,128,1,128,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.08406399935483932,0.09244800359010696,0.07423999905586243,0.0035355298379098825,0.07106794015271589,0.08096698729787022,49664,49152,98816,1.175485353520852,0.21275401834621815
compile,mha,32,32,128,1,128,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=3,0.04487999901175499,0.053408000618219376,0.03244800120592117,0.007588864077918101,0.029794700094498694,0.03969899262301624,49664,49152,98816,2.201782579676931,0.3985061063907672
eager,mha,32,32,128,1,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10423999652266502,0.11190400272607803,0.10188800096511841,0.003235795025798147,0.08870443009072915,0.09957198926713318,25088,24576,49664,0.47643900284668084,0.08623188034532879
compile,mha,32,32,128,1,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.030031999573111534,0.03667199984192848,0.027008000761270523,0.0029910415741786285,0.02287090988829732,0.027452013455331326,25088,24576,49664,1.6537027406082387,0.29930777287929455
eager,mha,32,32,128,1,2048,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.1035199984908104,0.11212799698114395,0.10070399940013885,0.004123681007282982,0.0886122600059025,0.10145550186280161,25088,24576,49664,0.47975271178552753,0.08683163676956475
compile,mha,32,32,128,1,2048,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.044015999883413315,0.054048001766204834,0.03270399942994118,0.007889682798944867,0.0301848299568519,0.03664848918560892,25088,24576,49664,1.1283169786338318,0.2042168968363529
eager,mha,32,32,128,1,2048,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10319999977946281,0.1117440015077591,0.1013759970664978,0.00329761635342549,0.08857528999214992,0.09931650129146874,25088,24576,49664,0.48124031110592425,0.08710088107121047
compile,mha,32,32,128,1,2048,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.030128000304102898,0.03673600032925606,0.02908799983561039,0.002932815086157761,0.022750079806428403,0.027356494683772326,25088,24576,49664,1.6484333343967952,0.2983540499405738
eager,mha,32,32,128,1,2048,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10459199920296669,0.11264000087976456,0.10124800354242325,0.003387625471138983,0.08899948006728664,0.10039850894827396,25088,24576,49664,0.47483555509465114,0.08594166834784983
compile,mha,32,32,128,1,2048,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.04444799944758415,0.05286400020122528,0.03232000023126602,0.008105018294501502,0.029965720023028553,0.04049100971315056,25088,24576,49664,1.1173506258378822,0.20223206936321403
eager,mha,32,32,128,1,2048,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.08419200032949448,0.091839998960495,0.08256000280380249,0.003320395522044321,0.0705571798607707,0.07987499702721834,49664,49152,98816,1.173698209013599,0.21243055861603555
compile,mha,32,32,128,1,2048,fp32,uniform,1234,pass,q_maxdiff=2.38e-07 k_maxdiff=2.38e-07 sets=2,0.030559999868273735,0.03699199855327606,0.02908799983561039,0.0028401032520696035,0.022694979852531105,0.02800798392854631,49664,49152,98816,3.2335078673409,0.585240632790822
eager,mha,32,32,128,1,2048,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.08353600278496742,0.09545599669218063,0.07740800082683563,0.005584282546362189,0.07049908017506823,0.08126249304041266,49664,49152,98816,1.1829151109176876,0.2140987486202107
compile,mha,32,32,128,1,2048,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=3,0.045152001082897186,0.05116799846291542,0.03244800120592117,0.007307219049430326,0.030043169972486794,0.038497004425153136,49664,49152,98816,2.188518728518321,0.3961054489735667
eager,mha,32,32,128,8,128,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10276800021529198,0.11299200356006622,0.09372799843549728,0.00392989635278512,0.08785963989794254,0.09963651245925575,200704,196608,397312,3.8661061728131165,0.6997361737902063
compile,mha,32,32,128,8,128,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.025760000571608543,0.03203200176358223,0.024607999250292778,0.0026460348866950436,0.018792760092765093,0.023158994736149907,200704,196608,397312,15.423602142225825,2.791556120459712
eager,mha,32,32,128,8,128,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10288000106811523,0.11180800199508667,0.10060799866914749,0.00417400735096651,0.08839474990963936,0.0982289930107072,200704,196608,397312,3.8618973160482954,0.6989744023341203
compile,mha,32,32,128,8,128,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=1.95e-03 sets=3,0.02622400037944317,0.033215999603271484,0.02505600079894066,0.002589908502478384,0.019066370150540024,0.02350399154238403,200704,196608,397312,15.150701428125757,2.742163141329486
eager,mha,32,32,128,8,128,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10289600118994713,0.1138560026884079,0.10054399818181992,0.006336648758740149,0.088519080018159,0.09893551759887487,200704,196608,397312,3.861296798760505,0.698865713216318
compile,mha,32,32,128,8,128,fp16,uniform,1234,pass,q_maxdiff=2.44e-04 k_maxdiff=4.88e-04 sets=2,0.026335999369621277,0.03136000037193298,0.025151999667286873,0.002613361036718827,0.01945761003298685,0.023619504645466805,200704,196608,397312,15.086270105941058,2.730501556043803
eager,mha,32,32,128,8,128,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10307200253009796,0.11507199704647064,0.09734400361776352,0.0048753952951635735,0.08868470002198592,0.09911101369652897,200704,196608,397312,3.8547034136062437,0.697672360035122
compile,mha,32,32,128,8,128,fp16,ragged,1234,pass,q_maxdiff=2.44e-04 k_maxdiff=4.88e-04 sets=3,0.026575999334454536,0.03392000123858452,0.025536000728607178,0.002891967079052227,0.01914381980895996,0.023483997210860252,200704,196608,397312,14.950030476743112,2.7058432066368594
eager,mha,32,32,128,8,128,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.08302399888634682,0.09180799871683121,0.08089599758386612,0.0034226144680249023,0.06985315994825214,0.07864797953516245,397312,393216,790528,9.521680605654389,1.7233526595584994
compile,mha,32,32,128,8,128,fp32,uniform,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=2,0.02579200081527233,0.031231999397277832,0.024191999807953835,0.002348068880050095,0.019279970147181302,0.023333501303568482,397312,393216,790528,30.650123100643714,5.54744202719028
eager,mha,32,32,128,8,128,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.08267199993133545,0.09164799749851227,0.08105599880218506,0.0034324929129299917,0.07044947997201234,0.07972448656801134,397312,393216,790528,9.562221800084497,1.7306903111912708
compile,mha,32,32,128,8,128,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=3,0.026448000222444534,0.03215999901294708,0.025151999667286873,0.0028956853004058715,0.019132199813611805,0.023208980564959347,397312,393216,790528,29.88989690529173,5.409846796906262
eager,mha,32,32,128,8,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10356799885630608,0.11507199704647064,0.10060799866914749,0.006760526745192049,0.08819367998512462,0.09900050645228475,200704,196608,397312,3.83624289729924,0.6943311452651575
compile,mha,32,32,128,8,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=9.54e-07 sets=2,0.0261439997702837,0.03014400042593479,0.024927999824285507,0.002213231766438052,0.01940170011948794,0.02346849942114204,200704,196608,397312,15.197062557030792,2.750554157380915
eager,mha,32,32,128,8,2048,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10252799838781357,0.11168000102043152,0.09836799651384354,0.004704493978777432,0.08782988996244967,0.09785349539015442,200704,196608,397312,3.875156115865657,0.7013741454965022
compile,mha,32,32,128,8,2048,bf16,ragged,1234,pass,q_maxdiff=3.81e-06 k_maxdiff=9.54e-07 sets=3,0.025919999927282333,0.0326399989426136,0.025248000398278236,0.0024745695975739355,0.019288289768155664,0.02379500074312091,200704,196608,397312,15.32839510473168,2.7743243619005367
eager,mha,32,32,128,8,2048,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10231999680399895,0.11123199760913849,0.10035199671983719,0.004482939103621672,0.08874871011357754,0.09835450327955186,200704,196608,397312,3.883033741303557,0.7027999365213922
compile,mha,32,32,128,8,2048,fp16,uniform,1234,pass,q_maxdiff=3.05e-05 k_maxdiff=4.88e-04 sets=2,0.025855999439954758,0.03161599859595299,0.024768000468611717,0.0028188082935468096,0.01915133005240932,0.0234440085478127,200704,196608,397312,15.366336966500768,2.781191553848723
eager,mha,32,32,128,8,2048,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10268799960613251,0.1122559979557991,0.100832000374794,0.004139914808911653,0.08847921009873971,0.09852500807028264,200704,196608,397312,3.8691181201690545,0.7002813136348702
compile,mha,32,32,128,8,2048,fp16,ragged,1234,pass,q_maxdiff=4.88e-04 k_maxdiff=4.88e-04 sets=3,0.026575999334454536,0.031039999797940254,0.024064000695943832,0.002631377487136384,0.019466630183160305,0.0245709961745888,200704,196608,397312,14.950030476743112,2.7058432066368594
