impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,seed,validation,validation_detail,validation_cases,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw,pct_of_scattered_write_bw
eager,mha,32,32,128,1,128,bf16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09300800040364265,0.10496000200510025,0.08124800026416779,0.012132517612002703,0.07874854025430977,0.08868204895406961,25088,24576,49664,0.5339755696764223,0.09657952522579846,0.14635522710494092
compile,mha,32,32,128,1,128,bf16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.030672000721096992,0.03619199991226196,0.02879999950528145,0.002416830564389712,0.023152200737968087,0.02723099896684289,25088,24576,49664,1.6191966233829613,0.29286216451495345,0.44379912303173397
graph_eager,mha,32,32,128,1,128,bf16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03171199932694435,0.03244800120592117,0.030527999624609947,0.0007774030014063738,0.03084985888563097,0.035772041883319616,25088,24576,49664,1.5660948869219542,0.2832577166950329,0.429244680580131
graph_compile,mha,32,32,128,1,128,bf16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010928000323474407,0.015039999969303608,0.008832000195980072,0.0012555623916951646,0.0059821398463100195,0.011275988072156906,25088,24576,49664,4.544655795197672,0.8219864801695725,1.2456265207470036
eager,mha,32,32,128,1,128,bf16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09094399958848953,0.09808000177145004,0.08822400122880936,0.004168342520517333,0.07844686973839998,0.08786504622548819,25088,24576,49664,0.5460943022598909,0.0987714259525659,0.14967680202371927
compile,mha,32,32,128,1,128,bf16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.031136000528931618,0.03590400144457817,0.0297279991209507,0.002196805938390388,0.02320478903129697,0.02819305518642068,25088,24576,49664,1.595066776603249,0.288497827870923,0.43718546988727974
graph_eager,mha,32,32,128,1,128,bf16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03174399957060814,0.032896000891923904,0.03062400035560131,0.0007833075497847417,0.030905159655958414,0.0357719836756587,25088,24576,49664,1.5645161501950133,0.2829721724637924,0.42881197094820844
graph_compile,mha,32,32,128,1,128,bf16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010975999757647514,0.01772800087928772,0.006016000173985958,0.0035044233463130503,0.005971320206299424,0.011652009561657906,25088,24576,49664,4.524781441016038,0.8183918294026943,1.2401792385397303
eager,mha,32,32,128,1,128,bf16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.0912800021469593,0.10035199671983719,0.0857279971241951,0.003615167739307656,0.07858352037146688,0.08986401371657848,25088,24576,49664,0.5440841239249948,0.09840784739161958,0.1491258402879541
compile,mha,32,32,128,1,128,bf16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.030112000182271004,0.03846399858593941,0.02860799990594387,0.0033343704305720877,0.0229367904830724,0.028077454771846533,25088,24576,49664,1.6493092355000913,0.29830859679900606,0.4520525683865397
graph_eager,mha,32,32,128,1,128,bf16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03167999908328056,0.03270399942994118,0.03062400035560131,0.000703096679886321,0.030799960950389508,0.03546202788129449,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,bf16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.01065600011497736,0.01206399966031313,0.0060800001956522465,0.0014145161353311918,0.005993259837850928,0.0120375188998878,25088,24576,49664,4.660660610372518,0.8429681329075103,1.2774218163266677
