head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,1,shared,8,True,1,0.07524799928069115,0.07209599763154984,0.06313753081485629,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,1,shared,8,True,1,0.03734400123357773,0.029440000653266907,0.029609670164063573,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,1,shared,8,True,1,0.01065600011497736,0.006399999838322401,0.0059844693168997765,1.0,1.0
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,1,distinct,8,True,1,0.07462400197982788,0.06771200150251389,0.06729184999130666,0.9917074565858472,1.0657979354408464
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,1,distinct,8,True,1,0.030239999294281006,0.02860799990594387,0.02273557591252029,0.8097685918854034,0.7678429305880556
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,1,distinct,8,True,1,0.011168000288307667,0.008832000195980072,0.006201029755175114,1.0480480637955956,1.0361870747108326
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,2,distinct,8,True,2,0.07583999633789062,0.07318399846553802,0.06362990476191044,1.0078672796999053,1.0077984352682081
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,2,distinct,8,True,2,0.030208000913262367,0.028831999748945236,0.022949775448068976,0.8089117372377588,0.7750770380388254
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,2,distinct,8,True,2,0.010816000401973724,0.007071999832987785,0.006038075080141425,1.015015041785846,1.0089574798370624
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,8,distinct,8,True,8,0.07412799820303917,0.07039999961853027,0.06360264960676432,0.9851158690150135,1.0073667561259552
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,8,distinct,8,True,8,0.030079999938607216,0.02534399926662445,0.02289788448251784,0.8054841191350671,0.7733245374110367
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,8,distinct,8,True,8,0.010928000323474407,0.006304000038653612,0.0059692945796996355,1.0255255448162715,0.9974643136431014
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,64,distinct,8,True,8,0.0740479975938797,0.07260800153017044,0.06341349449940026,0.9840527097293952,1.00437083428798
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,64,distinct,8,True,8,0.02977599948644638,0.02848000079393387,0.02287207986228168,0.7973435760192027,0.7724530444125272
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,64,distinct,8,True,8,0.010591999627649784,0.005439999978989363,0.005963984876871109,0.9939939483261059,0.9965770665795176
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,512,distinct,8,True,8,0.07391999661922455,0.07238399982452393,0.0636440806556493,0.9823516548724058,1.0080229593120835
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,512,distinct,8,True,8,0.029823999851942062,0.025567999109625816,0.022793335374444723,0.798628932807712,0.7697936264791073
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,512,distinct,8,True,8,0.011087999679148197,0.00598399993032217,0.0059543142560869455,1.040540499203228,0.994961113639989
mha,32,32,128,1,2048,fp32,ragged,packed,identity,eager,2048,distinct,8,True,8,0.07420799881219864,0.07283200323581696,0.06324948975816369,0.9861790283006319,1.0017732550174587
mha,32,32,128,1,2048,fp32,ragged,packed,identity,compile,2048,distinct,8,True,8,0.029279999434947968,0.025919999927282333,0.02258153515867889,0.7840616556273289,0.7626405506565036
mha,32,32,128,1,2048,fp32,ragged,packed,identity,graph_compile,2048,distinct,8,True,8,0.010879999957978725,0.006399999838322401,0.005946250166743994,1.0210210060608507,0.9936136108095911
